id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000018802,10906425.93395127,0.0013386642589815116,6.948976618441977,84534.43179999999,445269.1772,Willem Kloospad 36,1,1966
0503100000018803,13165428.792488344,0.0016159362457876488,8.388289381397733,84540.3152,445259.6504,Willem Kloospad 40,1,1966
0503100000018804,12078869.241636451,0.0014825709761026908,7.695993210393603,84529.1855,445326.1265,P.C. Boutenspad 1,1,1966
0503100000018805,10356003.443240613,0.0012711049210172556,6.59827758638728,84534.9532,445329.49460000003,P.C. Boutenspad 3,1,1966
0503100000018806,10303583.200207194,0.0012646708145353592,6.564878281667453,84540.621,445331.8948,P.C. Boutenspad 5,1,1966
0503100000018807,12454123.355090069,0.0015286299942226772,7.935084556738871,84509.7932,445304.9102,Willem Kloospad 24,1,1966
0503100000018808,11085355.987036334,0.0013606262902072501,7.0629810377407045,84508.9302,445311.2924,Willem Kloospad 22,1,1966
0503100000018809,12951004.426819708,0.0015896176115885357,8.251669932232703,84502.97020000001,445320.9406,Willem Kloospad 18,1,1966
0503100000018810,13412901.71950114,0.0016463112893137135,8.545965561837011,84500.7106,445330.09479999996,Willem Kloospad 16,1,1966
0503100000018811,11898723.409950268,0.0014604597191480097,7.58121416362997,84498.292,445335.8148,Willem Kloospad 14,1,1966
0503100000018812,10170150.70803574,0.0012482931937328634,6.479862413604434,84495.8734,445341.5346,Willem Kloospad 12,1,1966
0503100000018813,13922471.755646951,0.0017088563612710475,8.870635649735643,84473.5812,445308.49639999995,Multatuliweg 85,1,1966
0503100000018814,10376318.755825676,0.0012735984402537457,6.611221389701479,84475.5068,445303.9488,Multatuliweg 87,1,1966
0503100000018815,11056778.21920016,0.001357118629986071,7.044772850961326,84478.3958,445297.1274,Multatuliweg 89,1,1966
0503100000018879,13151026.809359465,0.0016141685337809988,8.379113227392025,84485.1358,445281.21040000004,Multatuliweg 95,1,1966
0503100000018880,11181864.820739523,0.0013724718688722347,7.124471175109069,84483.2102,445285.75800000003,Multatuliweg 93,1,1966
0503100000018881,11260053.903736334,0.001382068865311237,7.174288971777994,84461.7412,445341.5738,Multatuliweg 75,1,1966
